tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|GTSRB|RESISC45|SVHN,4,task_arithmetic,0.8569895504544769,0.8109999999999999
Cars|GTSRB|RESISC45|SVHN,4,ties,0.7142360778488935,0.67175
Cars|GTSRB|SUN397|SVHN,4,weight_averaging,0.8630927025171655,0.769
Cars|GTSRB|SUN397|SVHN,4,task_arithmetic,0.8980245101824189,0.8027500000000001
Cars|GTSRB|SUN397|SVHN,4,ties,0.7397099807356908,0.65
Cars|MNIST|RESISC45|SUN397,4,weight_averaging,0.8998345844713848,0.80225
Cars|MNIST|RESISC45|SUN397,4,task_arithmetic,0.9131885010185076,0.8145
Cars|MNIST|RESISC45|SUN397,4,ties,0.8369011114050958,0.7424999999999999
Cars|MNIST|RESISC45|SVHN,4,weight_averaging,0.8814390541635484,0.83725
Cars|MNIST|RESISC45|SVHN,4,task_arithmetic,0.8960130476388763,0.8512500000000001
Cars|MNIST|RESISC45|SVHN,4,ties,0.8056179442675179,0.7637499999999999
