tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|GTSRB|RESISC45|SVHN,4,task_arithmetic,0.8147286841933209,0.75
Cars|GTSRB|RESISC45|SVHN,4,ties,0.6653636152403819,0.603
Cars|GTSRB|SUN397|SVHN,4,weight_averaging,0.8478339785945819,0.7245
Cars|GTSRB|SUN397|SVHN,4,task_arithmetic,0.8722429253859695,0.74875
Cars|GTSRB|SUN397|SVHN,4,ties,0.7161161194917893,0.5972500000000001
Cars|MNIST|RESISC45|SUN397,4,weight_averaging,0.8815895452234845,0.7562500000000001
Cars|MNIST|RESISC45|SUN397,4,task_arithmetic,0.8920979953923125,0.76725
Cars|MNIST|RESISC45|SUN397,4,ties,0.8097455447029861,0.6885
Cars|MNIST|RESISC45|SVHN,4,weight_averaging,0.8453236493666318,0.78125
Cars|MNIST|RESISC45|SVHN,4,task_arithmetic,0.8638909606190821,0.79925
Cars|MNIST|RESISC45|SVHN,4,ties,0.7502229647420258,0.68875
